Lat,Lon,Diam,RBA
71.8679,183.871,23.9308,0.686384752450538
72.0732,186.336,20.2802,3.88818882176456
70.0517,193.394,26.1729,-9.68815127780676
69.3409,194.749,19.676,-3.00235374740192
70.0841,195.37,13.4593,1.92032421980251
70.13,196.138,10.7417,-0.631849966449142
68.2837,209.596,14.6844,11.5135767664923
66.4176,211.754,13.2894,17.3127343631987
65.1989,219.046,10.4196,-1.39045249329291
60.6891,230.375,11.9522,10.14703795148
60.9806,230.656,10.2113,-0.196434972919754
62.7718,229.624,14.4556,2.57224226711697
68.8348,212.889,10.2152,1.08668726723155
68.1561,216.793,14.7966,12.6910881147559
68.0666,210.611,12.0385,0.702724734234909
69.5912,208.626,12.4033,5.11463063737059
71.0464,199.829,14.9476,0.661357359049013
71.6891,188.876,10.8187,3.13627145738368
70.9539,179.18,11.7861,2.93237786738751
72.1082,179.027,11.5701,3.6114164632805
71.9936,175.429,10.6045,0.645796096251432
70.7809,159.496,11.1513,1.0438867535626
69.8485,157.436,12.1962,3.4482409996105
69.7976,153.42,12.7742,3.42397173666598
68.2081,145.905,10.5162,3.39300601282189
68.5557,147.274,17.787,0.703108897315417
68.0673,147.112,27.3988,-2.04723698598622
68.9017,147.525,15.8494,4.20985800098248
69.22,148.776,13.5342,2.96555926195299
69.6442,147.167,14.5619,5.35705784564779
67.684,143.304,28.8542,7.16233497769654
65.249,138.147,19.3683,-1.23906555845419
66.9412,140.714,17.5241,-2.68477378594114
61.5407,131.257,20.7742,2.05472279055752
62.7125,127.184,16.7885,3.40140185300067
63.7156,130.567,11.7272,-0.00825311262384698
63.8883,127.699,23.8869,-2.01929008428818
64.0688,130.902,18.3713,0.970175600765689
64.8544,130.402,20.7381,1.85430974153905
65.2491,135.363,24.9462,-1.66004942033558
67.3065,136.018,14.8125,7.44942354168801
67.2669,137.488,14.2803,-1.90507910471968
68.5762,143.023,25.6245,0.0769838614338809
69.9777,146.126,14.1397,-0.327736621221753
69.7729,146.272,11.633,-2.15418422713578
70.9731,153.544,13.2628,5.30577271367874
70.1293,151.609,16.7226,3.51344580234387
72.4596,156.885,13.0654,3.70174149505197
71.8897,160.845,14.1353,0.547768319357252
72.0462,162.941,10.4509,6.03983222896137
