id,lat,lon,dia,diasd,mare,insSPA
01-1-000206,68.1561,216.793,14.7966,0.546444,0,0
01-1-000208,68.0666,210.611,12.0385,0.14723,0,0
01-1-000209,69.5912,208.626,12.4033,0.236238,0,0
01-1-000211,71.0464,199.829,14.9476,0.40432,0,0
01-1-000212,71.6891,188.876,10.8187,0.51437,0,0
01-1-000214,70.9539,179.18,11.7861,0.454376,0,0
01-1-000216,72.1082,179.027,11.5701,0.392416,0,0
01-1-000217,71.9936,175.429,10.6045,0.198139,0,0
01-1-000222,70.7809,159.496,11.1513,0.200963,0,0
01-1-000223,69.8485,157.436,12.1962,0.147246,0,0
01-1-000224,69.7976,153.42,12.7742,0.456837,0,0
01-1-000225,68.2081,145.905,10.5162,0.166228,0,0
01-1-000226,68.5557,147.274,17.787,0.437543,0,0
01-1-000227,68.0673,147.112,27.3988,0.486096,0,0
01-1-000228,68.9017,147.525,15.8494,0.539292,0,0
01-1-000229,69.22,148.776,13.5342,0.517868,0,0
01-1-000230,69.6442,147.167,14.5619,0.737097,0,0
01-1-000231,67.684,143.304,28.8542,1.0792,0,0
01-1-000232,65.249,138.147,19.3683,0.785652,0,0
01-1-000234,66.9412,140.714,17.5241,0.321878,0,0
01-1-000236,61.5407,131.257,20.7742,0.739295,0,0
01-1-000237,62.7125,127.184,16.7885,0.169938,0,0
01-1-000239,63.7156,130.567,11.7272,0.28257,0,0
01-1-000240,63.8883,127.699,23.8869,0.842275,0,0
01-1-000241,64.0688,130.902,18.3713,0.614984,0,0
01-1-000242,64.8544,130.402,20.7381,0.448363,0,0
01-1-000243,65.2491,135.363,24.9462,0.661386,0,0
01-1-000244,67.3065,136.018,14.8125,0.151944,0,0
01-1-000245,67.2669,137.488,14.2803,0.30469,0,0
01-1-000246,68.5762,143.023,25.6245,1.00318,0,0
01-1-000247,69.9777,146.126,14.1397,0.523462,0,0
01-1-000248,69.7729,146.272,11.633,0.153346,0,0
01-1-000249,70.9731,153.544,13.2628,0.474383,0,0
01-1-000250,70.1293,151.609,16.7226,0.499838,0,0
01-1-000252,72.4596,156.885,13.0654,0.368366,0,0
01-1-000253,71.8897,160.845,14.1353,0.378024,0,0
01-1-000254,72.0462,162.941,10.4509,0.217306,0,0
01-1-000255,72.4025,174.798,10.3805,0.143773,0,0
01-1-000256,73.036,178.296,12.2787,0.525359,0,0
01-1-000257,72.6136,179.963,22.3306,0.632225,0,0
01-1-000258,72.7807,183.397,13.855,0.0965449,0,0
01-1-000260,72.9327,193.192,15.6774,0.144267,0,0
01-1-000261,71.9585,193.672,12.0288,0.317887,0,0
01-1-000262,72.0593,198.801,14.067,0.535874,0,0
01-1-000263,71.9239,196.739,10.3964,0.270547,0,0
01-1-000264,71.7025,202.299,18.0118,0.339105,0,0
01-1-000265,71.9828,203.914,20.7095,0.408651,0,0
01-1-000266,70.7601,202.97,14.7447,0.117727,0,0
01-1-000267,70.7674,206.865,13.7959,0.146148,0,0
01-1-000268,71.4474,207.646,17.6349,0.381086,0,0
01-1-000271,70.1083,216.829,17.8356,0.6255,0,0
01-1-000272,69.3035,216.565,14.4852,0.446031,0,0
01-1-000273,68.1358,218.278,20.375,0.723997,0,0
01-1-000274,68.756,220.004,16.6528,0.322932,0,0
01-1-000275,66.657,222.138,15.1509,0.504771,0,0
01-1-000278,64.9756,226.758,11.2177,0.323639,0,0
01-1-000280,62.3326,231.6,14.0871,0.494316,0,0
01-1-000281,62.3793,230.428,27.2609,0.362678,0,0
01-1-000282,62.2468,237,25.0041,0.717251,0,0
01-1-000283,63.2606,235.409,17.9,0.726946,0,0
01-1-000284,62.4136,235.825,12.3245,0.225611,0,0
01-1-000287,66.2796,229.175,12.0927,0.276888,0,0
01-1-000288,66.0264,229.769,13.3551,0.270713,0,0
01-1-000289,66.5233,230.524,13.397,0.645202,0,0
01-1-000290,68.6344,222.455,14.0504,0.388318,0,0
01-1-000291,69.2381,221.292,11.5423,0.460632,0,0
01-1-000292,69.166,223.647,28.7343,0.526203,0,0
01-1-000293,72.1342,208.969,17.4472,0.768939,0,0
01-1-000294,72.1634,211.311,11.0942,0.182871,0,0
01-1-000295,73.4118,204.576,14.4778,0.308836,0,0
01-1-000299,73.8315,197.542,13.3329,0.309161,0,0
01-1-000300,75.804,187.114,22.0348,0.320124,0,0
01-1-000301,74.9653,188.248,16.1608,0.629931,0,0
01-1-000302,75.0682,184.99,23.74,0.658115,0,0
01-1-000305,73.647,159.34,11.9197,0.808087,0,0
01-1-000306,73.4643,156.66,18.3013,0.321205,0,0
01-1-000307,72.3054,152.132,13.8789,0.442903,0,0
01-1-000308,71.3314,148.485,15.9377,0.334399,0,0
01-1-000310,73.6599,153.516,20.9225,0.884288,0,0
01-1-000312,72.2041,152.995,20.6581,0.515742,0,0
01-1-000313,72.0686,146.933,16.9198,0.464918,0,0
01-1-000314,69.1679,138.669,14.3454,0.334626,0,0
01-1-000315,68.8836,137.405,22.2351,0.60653,0,0
01-1-000316,65.7743,128.293,25.5874,0.958668,0,0
01-1-000318,61.8709,122.673,16.988,0.626134,0,0
01-1-000321,74.969,156.886,11.4452,0.236382,0,0
01-1-000322,74.7072,161.721,12.1288,0.16663,0,0
01-1-000323,76.2501,183.271,14.1397,0.26067,0,0
01-1-000324,75.5732,192.725,11.3836,0.454776,0,0
01-1-000325,74.3607,201.288,14.3781,0.234953,0,0
01-1-000328,73.5696,212.551,18.2668,0.420122,0,0
01-1-000329,72.2453,213.463,12.2141,0.374066,0,0
01-1-000330,71.0935,219.118,10.7002,0.208634,0,0
01-1-000331,70.9764,219.565,15.7972,0.197509,0,0
01-1-000332,71.1499,222.219,23.6045,0.416108,0,0
01-1-000335,69.6352,226.245,10.8731,0.189596,0,0
01-1-000336,69.72,226.946,12.3034,0.129382,0,0
01-1-000337,68.9154,226.948,13.8544,0.328978,0,0
01-1-000343,66.2614,234.322,14.3183,0.42456,0,0
01-1-000344,63.5093,239.155,14.1983,0.24421,0,0
01-1-000346,61.4352,241.428,13.8538,0.224885,0,0
01-1-000347,61.4087,244.803,17.2703,0.365419,0,0
01-1-000348,60.63,245.113,11.2611,0.292117,0,0
01-1-000350,62.4926,243.762,14.536,0.32549,0,0
01-1-000351,68.6166,233.729,16.6486,0.353505,0,0
01-1-000352,68.5657,236.826,26.5475,0.899108,0,0
01-1-000353,68.1466,235.861,19.742,0.535676,0,0
01-1-000354,69.3737,234.013,11.8988,0.216888,0,0
01-1-000355,71.4176,225.772,15.1222,0.320644,0,0
01-1-000356,71.6627,228.539,15.2489,0.233089,0,0
01-1-000357,70.5332,230.429,13.7,0.41157,0,0
01-1-000359,65.0459,237.777,13.0323,0.211176,0,0
01-1-000360,72.2602,220.479,12.563,0.541601,0,0
01-1-000361,73.2615,221.273,14.1346,0.40651,0,0
01-1-000364,75.443,215.275,10.7782,0.259679,0,0
01-1-000366,76.6585,210.021,29.1344,0.726809,0,0
01-1-000367,75.8249,206.852,19.5387,0.317478,0,0
01-1-000368,76.4824,201.429,19.9702,0.518266,0,0
01-1-000369,77.3751,179.841,11.0745,0.268717,0,0
01-1-000374,76.1239,156.791,18.7177,0.395327,0,0
01-1-000375,76.9075,162.146,15.9993,0.365286,0,0
01-1-000376,76.4725,160.461,11.0001,0.222048,0,0
01-1-000377,75.7698,156.305,24.3471,0.756156,0,0
01-1-000378,75.1675,151.269,26.3916,0.749287,0,0
01-1-000379,73.7749,144.809,10.3237,0.290483,0,0
01-1-000380,73.6345,141.099,21.6566,0.396449,0,0
01-1-000381,71.6827,131.731,21.4943,0.461765,0,0
01-1-000385,60.3681,113.669,12.1876,0.468073,0,0
01-1-000386,61.9103,115.369,10.6604,0.3345,0,0
01-1-000387,72.7594,129.217,18.2012,0.515569,0,0
01-1-000388,74.6545,139.996,18.1002,0.355613,0,0
01-1-000389,75.1408,143.492,13.2126,0.38918,0,0
01-1-000390,75.4395,140.895,14.1184,0.246379,0,0
01-1-000391,76.3592,145.989,17.3081,0.461324,0,0
01-1-000392,76.4242,147.174,11.1538,0.203689,0,0
01-1-000393,76.479,144.316,17.9715,0.497057,0,0
01-1-000395,76.1219,148.935,16.6631,0.740858,0,0
01-1-000396,76.8196,155.472,15.2499,0.406936,0,0
01-1-000397,78.3737,185.262,20.2761,0.98562,0,0
01-1-000398,78.8524,187.005,16.5389,0.295361,0,0
01-1-000399,77.5093,193.427,11.4165,0.280308,0,0
01-1-000400,78.0474,195.918,16.9726,0.350877,0,0
01-1-000401,77.5856,198.547,21.2284,0.502814,0,0
01-1-000402,77.5179,206.989,13.0201,0.256648,0,0
01-1-000403,77.7303,203.377,12.1041,0.263854,0,0
01-1-000404,73.7098,224.308,19.826,0.438988,0,0
01-1-000405,74.0257,222.363,10.5699,0.169902,0,0
01-1-000406,73.7209,227.52,27.4882,1.16136,0,0
01-1-000408,72.6558,225.595,11.5911,0.207043,0,0
01-1-000409,70.8283,232.374,15.1564,0.336682,0,0
01-1-000410,69.6195,235.467,15.0337,0.195371,0,0
01-1-000411,66.9399,238.515,16.1172,0.418543,0,0
01-1-000415,67.7969,242.823,18.9491,0.281072,0,0
01-1-000416,62.916,245.806,21.4107,0.61291,0,0
01-1-000417,62.8328,245.129,12.329,0.218313,0,0
01-1-000419,60.0917,246.147,10.9979,0.2023,0,0
01-1-000423,60.6379,248.692,10.2438,0.227589,0,0
01-1-000424,61.5751,248.884,10.4161,0.25118,0,0
01-1-000425,63.1276,248.685,12.6695,0.236954,0,0
01-1-000426,63.6333,246.265,10.3906,0.327436,0,0
01-1-000427,65.6519,244.63,15.5864,0.495444,0,0
01-1-000429,69.1102,240.062,15.4098,0.264464,0,0
01-1-000430,69.5936,239.906,11.5433,0.313486,0,0
01-1-000431,69.3691,238.164,12.932,0.318253,0,0
01-1-000435,77.0592,217.648,16.3578,0.348106,0,0
01-1-000436,76.6161,219.824,22.8407,0.401354,0,0
01-1-000437,77.9282,213.749,10.8088,0.205369,0,0
01-1-000438,78.6165,207.46,12.2797,0.251615,0,0
01-1-000439,79.6456,201.18,14.7651,0.350184,0,0
01-1-000440,79.5905,195.325,18.7212,0.472428,0,0
01-1-000443,80.176,205.708,29.6319,0.795322,0,0
01-1-000447,78.4723,153.649,14.1926,0.154788,0,0
01-1-000448,73.9752,132.898,14.9642,0.793611,0,0
01-1-000449,72.0958,125.264,14.5141,0.794466,0,0
01-1-000450,62.2994,110.867,12.3349,0.450752,0,0
01-1-000451,61.4299,107.868,12.7825,0.153371,0,0
01-1-000452,63.9009,110.581,28.7539,0.39563,0,0
01-1-000453,74.5103,122.661,15.1607,0.150647,0,0
01-1-000454,74.8827,124.519,11.5447,0.582984,0,0
01-1-000455,75.8832,127.419,16.1483,0.87923,0,0
01-1-000456,77.4721,134.435,11.2774,0.432129,0,0
01-1-000457,80.4604,155.541,11.6615,0.216196,0,0
01-1-000458,79.0414,211.582,11.9977,0.166163,0,0
01-1-000459,78.0276,221.8,11.175,0.148632,0,0
01-1-000460,76.9757,228.1,20.7491,0.642763,0,0
01-1-000461,76.2613,227.375,20.0992,0.569571,0,0
01-1-000462,76.3333,226.03,18.6883,0.503299,0,0
01-1-000463,76.2294,232.715,11.9453,0.209846,0,0
01-1-000464,74.3172,235.403,11.8613,0.303373,0,0
01-1-000465,70.3702,241.539,12.7306,0.331981,0,0
01-1-000468,68.2097,244.618,15.2561,0.403393,0,0
01-1-000469,67.8427,245.593,10.0344,0.29811,0,0
01-1-000470,68.8952,247.157,29.9328,0.414561,0,0
01-1-000472,65.7198,250.798,16.7416,0.413339,0,0
01-1-000473,62.0745,251.72,18.9734,0.603925,0,0
01-1-000475,60.9942,254.06,14.9889,0.275422,0,0
01-1-000476,61.0866,255.366,17.6965,0.52206,0,0
01-1-000477,61.8709,254.509,23.1029,0.76788,0,0
01-1-000478,64.2376,252.532,15.1684,0.30967,0,0
01-1-000479,65.6932,253.379,11.907,0.240563,0,0
01-1-000480,67.0452,250.613,11.1563,0.187073,0,0
01-1-000481,69.0538,249.408,11.0805,0.170923,0,0
01-1-000482,70.1611,247.515,16.1987,0.604191,0,0
01-1-000483,73.112,242.295,10.1099,0.160843,0,0
01-1-000484,72.5219,241.905,21.244,0.330094,0,0
01-1-000485,71.8251,243.118,10.0777,0.412289,0,0
01-1-000486,71.8514,241.397,20.1884,0.281959,0,0
01-1-000488,75.8123,238.183,22.7099,0.421238,0,0
01-1-000489,75.7709,236.273,13.8473,0.535287,0,0
01-1-000490,76.7464,235.283,14.7134,0.150192,0,0
01-1-000491,77.9949,232.797,16.3288,0.204935,0,0
01-1-000492,78.7064,226.798,18.1553,0.776481,0,0
01-1-000493,79.5388,222.651,23.7631,0.410859,0,0
01-1-000495,79.7408,228.572,28.8956,1.05411,0,0
01-1-000497,76.7111,239.271,28.546,0.730809,0,0
01-1-000503,81.2409,205.39,14.2282,0.397257,0,0
01-1-000504,82.4059,162.215,16.0506,0.162678,0,0
01-1-000506,81.7507,146.589,25.2716,0.411858,0,0
01-1-000507,81.9973,141.247,20.1473,0.518167,0,0
01-1-000510,82.0777,158.848,14.6572,0.477494,0,0
01-1-000511,80.9823,150.504,16.8543,0.183749,0,0
01-1-000512,79.192,136.578,13.7367,0.20065,0,0
01-1-000513,79.4615,134.065,18.3214,0.585196,0,0
01-1-000514,79.187,132.51,15.3698,0.580222,0,0
01-1-000515,79.539,136.426,10.6095,0.247389,0,0
01-1-000517,77.389,130.135,22.7201,0.68386,0,0
01-1-000521,75.8984,123.023,16.8891,0.300482,0,0
01-1-000522,70.6878,113.594,12.0996,0.404995,0,0
01-1-000523,66.2343,108.825,17.2988,0.257066,0,0
01-1-000524,61.1095,105.87,22.4715,0.676529,0,0
01-1-000526,63.4154,102.473,14.3773,0.322924,0,0
01-1-000527,67.7109,104.545,16.4665,0.262358,0,0
01-1-000528,69.8231,107.643,15.8295,0.276013,0,0
01-1-000529,71.4352,110.239,14.6289,0.255759,0,0
01-1-000530,77.055,118.068,16.0126,0.182276,0,0
01-1-000531,77.9385,119.869,10.0094,0.130643,0,0
01-1-000532,79.4302,129.728,14.201,0.341935,0,0
01-1-000533,79.8142,130.423,12.2281,0.33005,0,0
01-1-000534,80.349,132.841,12.8212,0.301989,0,0
01-1-000536,80.3329,126.069,14.8757,0.289113,0,0
01-1-000538,81.1408,137.665,10.7307,0.104489,0,0
01-1-000540,80.0124,131.591,13.6809,0.657089,0,0
01-1-000542,82.6452,156.988,14.5075,0.395579,0,0
01-1-000544,82.4413,219.283,12.9764,0.274244,0,0
01-1-000545,81.6023,224.039,11.9413,0.30015,0,0
01-1-000546,81.125,230.962,12.3417,0.372416,0,0
01-1-000547,78.563,238.852,11.4198,0.238372,0,0
01-1-000548,77.2072,241.343,10.2931,0.340233,0,0
01-1-000552,70.5951,249.393,11.5959,0.154068,0,0
01-1-000553,70.9913,250.056,22.858,0.430391,0,0
01-1-000554,69.0682,251.857,13.6137,0.460816,0,0
01-1-000555,68.3436,252.288,18.842,0.277326,0,0
01-1-000556,69.4383,254.283,25.9923,0.38711,0,0
01-1-000558,65.8334,256.221,28.6277,0.337511,0,0
01-1-000559,66.7481,257.468,23.2776,0.273967,0,0
01-1-000560,64.5337,255.372,13.956,0.201561,0,0
01-1-000561,63.0977,255.425,22.3527,0.481866,0,0
01-1-000563,60.864,257.148,20.5906,0.806483,0,0
01-1-000565,64.7527,258.628,26.8762,0.632834,0,0
01-1-000566,67.9751,256.327,11.6985,0.419782,0,0
01-1-000567,71.1965,253.64,16.2244,0.478657,0,0
01-1-000568,71.5468,252.789,13.6678,0.442936,0,0
01-1-000569,71.573,256.075,14.4817,0.491956,0,0
01-1-000571,72.0319,255.142,10.2646,0.139097,0,0
01-1-000572,72.321,254.086,10.1865,0.300219,0,0
01-1-000574,73.4158,254.744,18.1052,0.322967,0,0
01-1-000576,73.5127,251.836,14.1316,0.391696,0,0
01-1-000577,74.7532,249.299,11.307,0.144042,0,0
01-1-000579,74.9453,250.792,10.2569,0.582017,0,0
01-1-000580,74.9497,252.157,11.8994,0.268968,0,0
01-1-000581,75.5774,252.62,15.1981,0.399508,0,0
01-1-000582,77.6234,246.457,11.9136,0.387727,0,0
01-1-000583,77.7885,243.496,12.063,0.714997,0,0
01-1-000584,78.3424,244.473,16.1277,0.237039,0,0
01-1-000585,78.6509,241.885,12.1941,0.56999,0,0
01-1-000586,77.345,249.193,28.9419,0.633986,0,0
01-1-000587,78.6157,240.744,12.8649,0.122466,0,0
01-1-000590,81.5823,238.19,11.4899,0.145863,0,0
01-1-000592,83.2822,226.991,22.1189,0.594892,0,0
01-1-000594,84.8218,187.789,13.1633,0.235456,0,0
01-1-000595,82.7498,130.738,11.0299,0.188642,0,0
01-1-000597,80.0265,119.667,20.9911,0.360977,0,0
01-1-000598,79.031,117.895,25.6588,0.87894,0,0
01-1-000599,77.5329,113.389,14.1924,0.38094,0,0
01-1-000600,76.4503,110.628,22.2019,0.462984,0,0
01-1-000601,75.9197,109.243,16.7166,0.195335,0,0
01-1-000602,74.718,107.847,13.0271,0.338959,0,0
01-1-000604,73.0727,112.275,10.6553,0.193883,0,0
01-1-000605,72.3418,106.787,11.9685,0.0665774,0,0
01-1-000606,68.7022,104.747,14.5473,0.91484,0,0
01-1-000609,63.7719,100.27,12.0972,0.275054,0,0
01-1-000610,67.8197,98.1407,14.0262,0.142008,0,0
01-1-000611,72.7575,101.429,13.4163,0.119787,0,0
01-1-000612,73.1677,101.933,12.3676,0.299285,0,0
01-1-000613,73.6778,101.875,13.7256,0.2855,0,0
01-1-000614,73.1128,103.887,15.2544,0.258883,0,0
01-1-000619,79.4213,112.99,17.2793,0.128832,0,0
01-1-000620,79.5408,111.642,17.7582,0.354815,0,0
01-1-000622,82.6206,115.898,10.8212,0.157656,0,0
01-1-000625,83.2064,120.654,10.0768,0.350129,0,0
01-1-000626,85.8988,138.558,23.969,0.601181,0,0
01-1-000628,85.9712,173.188,16.7309,0.700712,0,0
01-1-000632,80.6959,253.789,13.2019,0.162104,0,0
01-1-000633,78.7615,253.683,17.6411,0.51657,0,0
01-1-000634,78.0547,255.479,11.1966,0.230916,0,0
01-1-000635,78.7281,255.776,14.7548,0.231146,0,0
01-1-000636,77.9558,257.073,11.6981,0.130975,0,0
01-1-000637,77.2621,257.44,22.1578,0.532476,0,0
01-1-000638,75.6014,255.564,14.5062,0.256698,0,0
01-1-000639,74.5288,256.029,11.4746,0.0937601,0,0
01-1-000640,73.7257,257.434,14.3482,0.588707,0,0
01-1-000641,72.7088,258.811,28.0749,0.490685,0,0
01-1-000646,70.3076,262.089,14.9832,0.251552,0,0
01-1-000647,67.9454,262.145,11.121,0.262762,0,0
01-1-000649,64.8046,262.322,15.5771,0.368886,0,0
01-1-000651,61.0834,266.004,11.6028,0.285735,0,0
01-1-000652,62.5842,266.242,12.1452,0.208251,0,0
01-1-000654,64.035,265.582,15.3437,0.160981,0,0
01-1-000655,64.5028,266.374,28.0411,0.655081,0,0
01-1-000656,65.2736,266.813,15.9417,0.624416,0,0
01-1-000658,67.7161,263.579,10.25,0.132512,0,0
01-1-000659,67.8521,265.664,12.9581,0.145715,0,0
01-1-000660,68.4027,265.77,22.3314,0.601627,0,0
01-1-000662,69.7779,263.192,14.0336,0.298697,0,0
